"State","City","Month","Avg_temp_by_month"
"Florida","Orlando",7,80.2870967741935
"Florida","Orlando",8,81.0516129032258
"Florida","Orlando",9,79.51
"Florida","Orlando",10,74.4483870967742
"Florida","Orlando",11,68.64
"Florida","Orlando",12,63.6774193548387
"Florida","Tallahassee",1,57.1612903225806
"Florida","Tallahassee",2,61.7214285714286
"Florida","Tallahassee",3,62.7903225806452
"Florida","Tallahassee",4,70.1566666666667
"Florida","Tallahassee",5,74.6032258064516
"Florida","Tallahassee",6,78.0333333333333
"Florida","Tallahassee",7,80.8354838709677
"Florida","Tallahassee",8,81.1193548387097
"Florida","Tallahassee",9,77.4366666666667
"Florida","Tallahassee",10,71.8354838709677
"Florida","Tallahassee",11,60.99
"Florida","Tallahassee",12,55.0193548387097
"Florida","Tampa St. Petersburg",1,65.7870967741935
"Florida","Tampa St. Petersburg",2,67.9107142857143
"Florida","Tampa St. Petersburg",3,69.1
"Florida","Tampa St. Petersburg",4,76.2533333333333
"Florida","Tampa St. Petersburg",5,79.9225806451613
"Florida","Tampa St. Petersburg",6,81.2466666666667
"Florida","Tampa St. Petersburg",7,83.3548387096774
"Florida","Tampa St. Petersburg",8,84.0258064516129
"Florida","Tampa St. Petersburg",9,82.1633333333333
"Florida","Tampa St. Petersburg",10,77.1870967741935
"Florida","Tampa St. Petersburg",11,70.9633333333333
"Florida","Tampa St. Petersburg",12,66.4548387096774
"Florida","West Palm Beach",1,68.9774193548387
"Florida","West Palm Beach",2,70.8785714285714
"Florida","West Palm Beach",3,70.541935483871
"Florida","West Palm Beach",4,75.5866666666667
"Florida","West Palm Beach",5,79.1935483870968
"Florida","West Palm Beach",6,81.34
"Florida","West Palm Beach",7,84.2193548387097
"Florida","West Palm Beach",8,84.1677419354839
"Florida","West Palm Beach",9,82.96
"Florida","West Palm Beach",10,78.6967741935484
"Florida","West Palm Beach",11,75.07
"Florida","West Palm Beach",12,68.9709677419355
